company_id,role,risk_bucket,z_label,a_mij,direct,via_prior_z1,via_prior_z2,via_prior_z3,C_logit,C_logit_ref,C_logit_delta,pmz,C_prob
ACE Aviation Holdings,Analyst,risk_uncertainty,1,0.2512601613998413,-0.009128183332342213,0.12949776487040887,-0.045968210916376755,0.09279544717204669,0.1671968177937366,0.1556111555302303,0.011585662263506297,0.1067266069270615,0.001104531141294905
ACE Aviation Holdings,Analyst,risk_uncertainty,2,0.2512601613998413,-0.027927313974126487,-0.04701788804795368,-0.1065278341815933,-0.026746782743793444,-0.2082198189474669,-0.19379152700551255,-0.014428291941954358,0.6840764804490098,-0.0031181825676403763
ACE Aviation Holdings,Analyst,risk_uncertainty,3,0.2512601613998413,0.037055497306468926,-0.08247987682245411,0.15249604509797246,-0.06604866442825831,0.041023001153728963,0.038180371475281,0.0028426296784479638,0.2091969126239286,0.00047026635989682805
ACE Aviation Holdings,Analyst,risk_legal,1,0.3251882493495941,-0.12236295514127693,0.16435969314600984,-0.06000608224181491,0.1172693645935075,0.0992600203564255,0.077886461808944,0.021373558547481505,0.1067266069270615,0.002037670396309183
ACE Aviation Holdings,Analyst,risk_legal,2,0.3251882493495941,0.04078547817443847,-0.05967551377947357,-0.13905953378459124,-0.03380099253651852,-0.19175056192614487,-0.15046110976681304,-0.04128945215933183,0.6840764804490098,-0.008923305022424607
ACE Aviation Holdings,Analyst,risk_legal,3,0.3251882493495941,0.08157747696683687,-0.10468417936653492,0.19906561602640926,-0.0834683720569954,0.09249054156971584,0.07257464795786626,0.019915893611849575,0.2091969126239286,0.003294757267872674
ACE Aviation Holdings,Analyst,risk_constraint,1,0.2562634944915771,-0.04548584920630728,0.13066704060248158,-0.04730626100523386,0.09298268597967263,0.13085761637061308,0.1179155644337419,0.012942051936871174,0.1067266069270615,0.0012338439591457616
ACE Aviation Holdings,Analyst,risk_constraint,2,0.2562634944915771,0.011006971057905287,-0.04744242723226162,-0.10962866354064181,-0.02680075129355961,-0.17286487100855774,-0.15576822657391476,-0.017096644434642982,0.6840764804490098,-0.0036948558329509746
ACE Aviation Holdings,Analyst,risk_constraint,3,0.2562634944915771,0.03447887814840202,-0.08322461337021887,0.15693492454587812,-0.0661819346861181,0.042007254637943164,0.03785266214017151,0.004154592497771656,0.2091969126239286,0.0006873090454217997
ACE Aviation Holdings,Analyst,risk_external,1,0.167288064956665,0.04122933830632569,0.08231964333252242,-0.030678523762603847,0.05954625878700856,0.15241671666325282,0.25516922988557333,-0.10275251322232051,0.1067266069270615,-0.009796017536076678
ACE Aviation Holdings,Analyst,risk_external,2,0.167288064956665,-0.043350599456558746,-0.02988851412400286,-0.07109514656256558,-0.017163243408148465,-0.16149750355127562,-0.27037187594500295,0.10887437239372733,0.6840764804490098,0.023529477461829217
ACE Aviation Holdings,Analyst,risk_external,3,0.167288064956665,0.0021212611502330362,-0.05243112920851888,0.10177367032517101,-0.04238301537886335,0.00908078688802181,0.01520264605942789,-0.006121859171406081,0.2091969126239286,-0.0010127609833124626
ACE Aviation Holdings,Operator,risk_uncertainty,1,0.219765156507492,0.0025935750889295017,-0.03597901588567135,-0.0059454217444979566,0.08216259536487856,0.04283173282363876,0.0447759851620009,-0.0019442523383621443,0.1067266069270615,-0.0001853573153967039
ACE Aviation Holdings,Operator,risk_uncertainty,2,0.219765156507492,0.1460587989931129,0.013063216517141589,-0.013778062907205239,-0.02368203564789339,0.12166191695515585,0.1271844921800166,-0.005522575224860743,0.6840764804490098,-0.0011935160352952246
ACE Aviation Holdings,Operator,risk_uncertainty,3,0.219765156507492,-0.1486523740820418,0.022915799368529464,0.019723484651703507,-0.05848055971698967,-0.1644936497787985,-0.17196047734202158,0.0074668275632230885,0.2091969126239286,0.00123526389833916
ACE Aviation Holdings,Operator,risk_legal,1,0.2466762065887451,0.011266878869330223,-0.0407461557216644,-0.006497629467239737,0.09253210465506573,0.056555198335491816,0.05599546784057571,0.0005597304949161025,0.1067266069270615,5.336248790150215e-05
ACE Aviation Holdings,Operator,risk_legal,2,0.2466762065887451,0.12756459027276051,0.01479406374328456,-0.015057762324462182,-0.026670878534012177,0.10063001315757072,0.09963407133920825,0.0009959418183624752,0.6840764804490098,0.0002152388119741133
ACE Aviation Holdings,Operator,risk_legal,3,0.2466762065887451,-0.13883146914209182,0.02595209197837951,0.021555391791702256,-0.0658612261210586,-0.15718521149306866,-0.15562953917979003,-0.0015556723132786332,0.2091969126239286,-0.00025736041578136674
ACE Aviation Holdings,Operator,risk_constraint,1,0.2118384391069412,0.01477492093261037,-0.03432516807717656,-0.005691928102655934,0.07953781849085341,0.054295643243631286,0.057707932380839294,-0.0034122891372080077,0.1067266069270615,-0.0003253141278786009
ACE Aviation Holdings,Operator,risk_constraint,2,0.2118384391069412,0.1216700564564779,0.012462739503611835,-0.013190610663450095,-0.022925486281087468,0.09801669901555217,0.10417670186909583,-0.006160002853543664,0.6840764804490098,-0.0013312742486643254
ACE Aviation Holdings,Operator,risk_constraint,3,0.2118384391069412,-0.1364449773890884,0.021862428573564446,0.018882538766106325,-0.05661233220977028,-0.1523123422591879,-0.16188463424993987,0.009572291990751963,0.2091969126239286,0.0015835783832448616
ACE Aviation Holdings,Operator,risk_external,1,0.3217202126979828,0.02984886835617897,-0.05573792297491076,-0.005621686821942877,0.1281526525918208,0.09664191115114612,0.09037944832587826,0.006262462825267864,0.1067266069270615,0.0005970383957676871
