company_id,role,risk_bucket,z_label,a_mij,direct,via_prior_z1,via_prior_z2,via_prior_z3,C_logit
ACE Aviation Holdings,Operator,risk_external,3,0.3217202126979828,-0.11542431265501053,0.03550066694904461,0.018649518657256677,-0.0912147287887427,-0.15248885583745195
AG&E Holdings,Analyst,risk_uncertainty,1,0.2394524216651916,-0.008699212768771872,0.12341213674977988,-0.04380797720664706,0.08843461064840726,0.1593395574227682
AG&E Holdings,Analyst,risk_uncertainty,2,0.2394524216651916,-0.026614895590499118,-0.04480832572876191,-0.10152165678560533,-0.025489842337409814,-0.19843472044227617
AG&E Holdings,Analyst,risk_uncertainty,3,0.2394524216651916,0.03531410835927121,-0.07860381102101695,0.14532963399225468,-0.06294476831100228,0.03909516301950666
AG&E Holdings,Analyst,risk_legal,1,0.2400169819593429,-0.09031441712723869,0.12131163282674198,-0.04428966540977663,0.08655490787972601,0.07326245816945268
AG&E Holdings,Analyst,risk_legal,2,0.2400169819593429,0.030103201449550136,-0.04404567736647924,-0.1026379325772293,-0.024948048498283092,-0.1415284569924415
AG&E Holdings,Analyst,risk_legal,3,0.2400169819593429,0.06021121567768739,-0.07726595546026174,0.14692759798700822,-0.06160685938144766,0.0682659988229862
AG&E Holdings,Analyst,risk_constraint,1,0.2288511991500854,-0.040620265308859746,0.11668969468553654,-0.042245949154145035,0.0830364044978842,0.11685988472041596
AG&E Holdings,Analyst,risk_constraint,2,0.2288511991500854,0.009829564412244845,-0.04236754979180461,-0.09790177552316857,-0.023933896959544943,-0.1543736578622733
AG&E Holdings,Analyst,risk_constraint,3,0.2288511991500854,0.03079070089661493,-0.07432214489373096,0.14014772467731582,-0.05910250753834379,0.03751377314185599
AG&E Holdings,Analyst,risk_external,1,0.2916794419288635,0.07188648150960794,0.1435305479397656,-0.05349033532425443,0.10382342300656972,0.26575011713168883
AG&E Holdings,Analyst,risk_external,2,0.2916794419288635,-0.07558506137330374,-0.05211289354103308,-0.12395978564634413,-0.029925417932682812,-0.2815831584933638
