company_id,risk_bucket,z_label,C_logit
Argo Group International Holdings,risk_uncertainty,3,-0.17667502170265575
Audacy,risk_constraint,1,0.6851341210327202
Audacy,risk_constraint,2,-0.31127699940423537
Audacy,risk_constraint,3,-0.37385712162849705
Audacy,risk_external,1,0.6646875350195149
Audacy,risk_external,2,-0.47549809618071803
Audacy,risk_external,3,-0.18918943883881967
Audacy,risk_legal,1,0.6620927652353411
Audacy,risk_legal,2,-0.3370967478565902
Audacy,risk_legal,3,-0.32499601737876205
Audacy,risk_uncertainty,1,0.7820013994823392
Audacy,risk_uncertainty,2,-0.2990095334698275
Audacy,risk_uncertainty,3,-0.4829918660125225
Avid Technology,risk_constraint,1,0.846387995134179
Avid Technology,risk_constraint,2,-0.762886518026007
Avid Technology,risk_constraint,3,-0.08350147710819603
Avid Technology,risk_external,1,0.37511064960074086
Avid Technology,risk_external,2,-0.6330466109459338
Avid Technology,risk_external,3,0.25793596134517016
Avid Technology,risk_legal,1,0.8283029174401725
Avid Technology,risk_legal,2,-0.8431195253689556
Avid Technology,risk_legal,3,0.014816607928759135
Avid Technology,risk_uncertainty,1,1.081492714804943
Avid Technology,risk_uncertainty,2,-0.8233396449588234
Avid Technology,risk_uncertainty,3,-0.2581530698461406
Axion International Holdings,risk_constraint,1,0.9164474329023168
Axion International Holdings,risk_constraint,2,-0.5451068388552135
Axion International Holdings,risk_constraint,3,-0.37134059404712105
Axion International Holdings,risk_external,1,0.3791561712801413
Axion International Holdings,risk_external,2,-0.5097217087293616
Axion International Holdings,risk_external,3,0.13056553744920518
Axion International Holdings,risk_legal,1,0.8990588240104739
Axion International Holdings,risk_legal,2,-0.609095738325871
Axion International Holdings,risk_legal,3,-0.28996308568461876
Axion International Holdings,risk_uncertainty,1,1.0477083967178575
Axion International Holdings,risk_uncertainty,2,-0.5140683965952704
Axion International Holdings,risk_uncertainty,3,-0.5336400001226023
BSQUARE Corp.,risk_constraint,1,0.7437984303791949
BSQUARE Corp.,risk_constraint,2,-0.4934501434323255
BSQUARE Corp.,risk_constraint,3,-0.25034828694689765
BSQUARE Corp.,risk_external,1,0.42862705348158603
BSQUARE Corp.,risk_external,2,-0.6147294029016628
BSQUARE Corp.,risk_external,3,0.1861023494200463
BSQUARE Corp.,risk_legal,1,0.7551344804327822
BSQUARE Corp.,risk_legal,2,-0.5805571721674945
BSQUARE Corp.,risk_legal,3,-0.17457730826531562
BSQUARE Corp.,risk_uncertainty,1,0.9089112353519433
BSQUARE Corp.,risk_uncertainty,2,-0.5308836085212214
BSQUARE Corp.,risk_uncertainty,3,-0.3780276268307493
Basic Energy Services,risk_constraint,1,0.6555363736897192
Basic Energy Services,risk_constraint,2,-0.2839714669780571
Basic Energy Services,risk_constraint,3,-0.3715649067116744
Basic Energy Services,risk_external,1,0.6712404900995507
Basic Energy Services,risk_external,2,-0.5514042056486099
Basic Energy Services,risk_external,3,-0.11983628445096244
Basic Energy Services,risk_legal,1,0.6150568804746718
Basic Energy Services,risk_legal,2,-0.30259249156691514
Basic Energy Services,risk_legal,3,-0.3124643889077686
Basic Energy Services,risk_uncertainty,1,0.7225259165274039
Basic Energy Services,risk_uncertainty,2,-0.2645180272587478
Basic Energy Services,risk_uncertainty,3,-0.4580078892686669
Boardriders,risk_constraint,1,0.1972398267505443
Boardriders,risk_constraint,2,-0.06501556355406643
Boardriders,risk_constraint,3,-0.13222426319648453
Boardriders,risk_external,1,0.20584593042533778
Boardriders,risk_external,2,-0.09547984456783554
Boardriders,risk_external,3,-0.11036608585750894
Boardriders,risk_legal,1,0.1672318818796712
Boardriders,risk_legal,2,-0.10517593803130038
