company_id,role,risk_bucket,z_label,a_mij,direct,via_prior_z1,via_prior_z2,via_prior_z3,C_logit,C_logit_ref,C_logit_delta,pmz,C_prob,z_star
ACE Aviation Holdings,Analyst,risk_legal,3,0.3251882493495941,0.08157747696683687,-0.10468417936653492,0.19906561602640926,-0.0834683720569954,0.09249054156971584,0.07257464795786626,0.019915893611849575,0.2091969126239286,0.003294757267872674,3
ACE Aviation Holdings,Operator,risk_external,3,0.3217202126979828,-0.11542431265501053,0.03550066694904461,0.018649518657256677,-0.0912147287887427,-0.15248885583745195,-0.14260747228889878,-0.009881383548553169,0.2091969126239286,-0.0016347125013693774,3
ACE Aviation Holdings,Operator,risk_constraint,3,0.2118384391069412,-0.1364449773890884,0.021862428573564446,0.018882538766106325,-0.05661233220977028,-0.1523123422591879,-0.16188463424993987,0.009572291990751963,0.2091969126239286,0.0015835783832448616,3
ACE Aviation Holdings,Operator,risk_uncertainty,3,0.219765156507492,-0.1486523740820418,0.022915799368529464,0.019723484651703507,-0.05848055971698967,-0.1644936497787985,-0.17196047734202158,0.0074668275632230885,0.2091969126239286,0.00123526389833916,3
ACE Aviation Holdings,Analyst,risk_external,3,0.167288064956665,0.0021212611502330362,-0.05243112920851888,0.10177367032517101,-0.04238301537886335,0.00908078688802181,0.01520264605942789,-0.006121859171406081,0.2091969126239286,-0.0010127609833124626,3
ACE Aviation Holdings,Analyst,risk_constraint,3,0.2562634944915771,0.03447887814840202,-0.08322461337021887,0.15693492454587812,-0.0661819346861181,0.042007254637943164,0.03785266214017151,0.004154592497771656,0.2091969126239286,0.0006873090454217997,3
ACE Aviation Holdings,Analyst,risk_uncertainty,3,0.2512601613998413,0.037055497306468926,-0.08247987682245411,0.15249604509797246,-0.06604866442825831,0.041023001153728963,0.038180371475281,0.0028426296784479638,0.2091969126239286,0.00047026635989682805,3
ACE Aviation Holdings,Operator,risk_legal,3,0.2466762065887451,-0.13883146914209182,0.02595209197837951,0.021555391791702256,-0.0658612261210586,-0.15718521149306866,-0.15562953917979003,-0.0015556723132786332,0.2091969126239286,-0.00025736041578136674,3
AG&E Holdings,IR,risk_external,2,0.1869075745344162,0.018814800922124668,-0.014351155143410468,-0.05945881490812956,-0.016615771540634917,-0.07161094067005028,-0.10611859866810765,0.03450765799805737,0.2190546369830021,0.005903214804927274,2
AG&E Holdings,IR,risk_constraint,2,0.2753672897815704,-0.083370102391812,-0.02521003946269551,-0.08574147930953004,-0.02647945276848964,-0.2208010739325272,-0.18931177728429632,-0.031489296648230886,0.2190546369830021,-0.00538686462526805,2
AG&E Holdings,CEO,risk_external,2,0.3016155958175659,-0.1483271678369167,-0.03105909255795885,-0.06857824327506154,-0.040210637774079086,-0.2881751414440162,-0.25682818462300677,-0.03134695682100941,0.2190546369830021,-0.005362514593300308,2
AG&E Holdings,President,risk_external,2,0.2036690562963485,0.05425171369520105,-0.033273567694269875,-0.08320009527397437,-0.020453019327249567,-0.08267496860029276,-0.11213118844596738,0.02945621984567462,0.2190546369830021,0.00503906678048009,2
AG&E Holdings,President,risk_constraint,2,0.2716276049613952,0.0018994475660890043,-0.04821320116079612,-0.11470683909191448,-0.027906679930625934,-0.1889272726172475,-0.1637101111391723,-0.025217161478075206,0.2190546369830021,-0.004313892324538385,2
AG&E Holdings,IR,risk_legal,2,0.2731503546237945,-0.10340765790752977,-0.02478283726089911,-0.08497718618330065,-0.026197324920052282,-0.2393650062717818,-0.21538704329064454,-0.023977962981137274,0.2190546369830021,-0.004101903005710099,2
AG&E Holdings,IR,risk_uncertainty,2,0.2645747661590576,-0.07943727357877212,-0.025734451980376445,-0.08353164598807038,-0.025749883255629265,-0.21445325480284821,-0.19545954075314795,-0.018993714049700267,0.2190546369830021,-0.0032492490213348545,2
AG&E Holdings,President,risk_legal,2,0.27325439453125,-0.004757511463428106,-0.047617019001358896,-0.11332628973221426,-0.02823484404201671,-0.19393566423901798,-0.17510875450614616,-0.01882690973287182,0.2190546369830021,-0.00322071385639602,2
AG&E Holdings,CEO,risk_legal,2,0.2275647222995758,-0.06093345190183129,-0.026006496403646374,-0.05676545197862298,-0.029608546820035105,-0.17331394710413575,-0.1879978208320699,0.014683873727934144,0.2190546369830021,0.0025119659175161435,2
AG&E Holdings,Operator,risk_uncertainty,2,0.2074491828680038,0.13787344173811436,0.012331133994011687,-0.013005919305075274,-0.022354858349162086,0.11484379807788866,0.1271844921800166,-0.01234069410212793,0.2190546369830021,-0.002111118874855587,2
Acorda Therapeutics,Analyst,risk_external,1,0.3693300783634186,0.0910240354055843,0.18174112020917288,-0.06773048387075059,0.13146320049640858,0.33649787224041516,0.25516922988557333,0.08132864235484183,0.451830673378755,0.0201434550389052,1
Acorda Therapeutics,President,risk_external,1,0.1025390625,-0.08512719218816533,0.04613843040888599,-0.01807517949831376,0.03572537851893824,-0.021338562758654867,-0.057484831101489955,0.03614626834283509,0.451830673378755,0.008952697476632026,1
Acorda Therapeutics,CEO,risk_legal,1,0.2677291631698608,0.2507700453934533,0.08426975786949005,-0.028818365629844876,0.12085453586349296,0.42707597349659143,0.3937619059121222,0.033314067584469254,0.451830673378755,0.008251218797221868,1
Acorda Therapeutics,Operator,risk_external,1,0.3929204642772674,0.036454754005993524,-0.06807334357232887,-0.006865828471190244,0.15651425607508093,0.11802983803755535,0.09037944832587826,0.02765038971167709,0.451830673378755,0.006848440670326957,1
Acorda Therapeutics,CEO,risk_external,1,0.2434141486883163,0.03566654506064725,0.06903668706686987,-0.023882120432309542,0.11258696307305795,0.19340807476826552,0.21358401418177855,-0.020175939413513033,0.451830673378755,-0.004997170943424456,1
Acorda Therapeutics,CTO,risk_external,1,0.3839448094367981,0.07397784716580832,-0.12135161563607069,-0.004916917954071628,0.1261973537426497,0.07390666731831572,0.05656805658924203,0.017338610729073688,0.451830673378755,0.004294422180740882,1
