company_id,role,z_label,C_prob
Avid Technology,CTO,1,-0.0025682407498387053
Avid Technology,CTO,2,1.5184264810287965e-05
Avid Technology,CTO,3,0.0024824824144956134
Avid Technology,IR,1,0.01500026202299249
Avid Technology,IR,2,-0.003747107709406173
Avid Technology,IR,3,-0.008549868247599205
Avid Technology,Operator,1,-0.0011601167158513826
Avid Technology,Operator,2,0.0028417707251445438
Avid Technology,Operator,3,-0.0034888965141836314
Avid Technology,President,1,0.0017398322619645583
Avid Technology,President,2,-0.000935606012150775
Avid Technology,President,3,-0.00017693523033460948
Axion International Holdings,Analyst,1,-0.0005010813315340368
Axion International Holdings,Analyst,2,0.00027877335881105027
Axion International Holdings,Analyst,3,7.64425325694668e-05
Axion International Holdings,CEO,1,-0.0015285370936932643
Axion International Holdings,CEO,2,-0.0001694003304235209
Axion International Holdings,CEO,3,0.000814024215365281
Axion International Holdings,CFO,1,0.020942367355057268
Axion International Holdings,CFO,2,-0.014187260792376758
Axion International Holdings,CFO,3,-0.0017503858130410305
Axion International Holdings,IR,1,0.014176138668727939
Axion International Holdings,IR,2,-0.005217724652287944
Axion International Holdings,IR,3,-0.003682856896072394
Axion International Holdings,Operator,1,-0.002565872310381261
Axion International Holdings,Operator,2,0.00873317783553184
Axion International Holdings,Operator,3,-0.00376961885855744
BSQUARE Corp.,Analyst,1,0.004206986822944345
BSQUARE Corp.,Analyst,2,-0.002119394093469468
BSQUARE Corp.,Analyst,3,-0.0010736333867809983
BSQUARE Corp.,CEO,1,-0.0032603239236230434
BSQUARE Corp.,CEO,2,-0.00040469898407755273
BSQUARE Corp.,CEO,3,0.0027952229402947036
BSQUARE Corp.,CFO,1,0.0017855210693722983
BSQUARE Corp.,CFO,2,-0.000543258135394865
BSQUARE Corp.,CFO,3,-0.000797302035646912
BSQUARE Corp.,CTO,1,0.006387515064577385
BSQUARE Corp.,CTO,2,-7.239343184296983e-06
BSQUARE Corp.,CTO,3,-0.004709024879035219
BSQUARE Corp.,Chair,1,-0.0013304208382094466
BSQUARE Corp.,Chair,2,5.893172774273903e-05
BSQUARE Corp.,Chair,3,0.000925749655337317
BSQUARE Corp.,IR,1,-9.981740902949236e-05
BSQUARE Corp.,IR,2,0.00020423905846768164
BSQUARE Corp.,IR,3,-0.00012216218279403727
BSQUARE Corp.,Operator,1,-0.002230177997713056
BSQUARE Corp.,Operator,2,0.007058771395325424
BSQUARE Corp.,Operator,3,-0.0051225613398655535
Basic Energy Services,Analyst,1,0.00042648563996964915
Basic Energy Services,Analyst,2,-0.00024095436530405123
Basic Energy Services,Analyst,3,-7.59046932144543e-05
Basic Energy Services,CEO,1,-0.03698266938727378
Basic Energy Services,CEO,2,-0.013236830597262744
Basic Energy Services,CEO,3,0.020228439137062716
Basic Energy Services,CFO,1,-0.018800177092626033
Basic Energy Services,CFO,2,0.014907970347824553
Basic Energy Services,CFO,3,0.0016322427371127444
Basic Energy Services,Operator,1,-0.000583207813135529
Basic Energy Services,Operator,2,0.0025160978454589296
Basic Energy Services,Operator,3,-0.0007704513052449115
Boardriders,Analyst,1,-0.006865394785353021
Boardriders,Analyst,2,0.010106335703330697
Boardriders,Analyst,3,0.0043668361838551766
Boardriders,Operator,1,-0.0003557884373631571
Boardriders,Operator,2,0.0034229994952430075
Boardriders,Operator,3,-0.001983172084714712
BowFlex,Analyst,1,-0.0009342659101460064
BowFlex,Analyst,2,0.000329202247406039
BowFlex,Analyst,3,0.00044603110627046026
BowFlex,CEO,1,0.006215366058477586
BowFlex,CEO,2,0.0014968028732752201
BowFlex,CEO,3,-0.008721718769362275
BowFlex,CFO,1,-0.003213562860816836
BowFlex,CFO,2,0.001819683033284445
BowFlex,CFO,3,0.00046141333998362354
BowFlex,COO,1,-2.1823949230287062e-05
BowFlex,COO,2,0.00031124033872053335
BowFlex,COO,3,-0.0004633574313685617
BowFlex,Head,1,0.003210042259136214
BowFlex,Head,2,-0.0010861923914391807
BowFlex,Head,3,-0.0016026166788937132
BowFlex,IR,1,0.00872471364316953
BowFlex,IR,2,-0.0025406954906531678
BowFlex,IR,3,-0.004998106227175326
BowFlex,Operator,1,-0.001512628446944002
BowFlex,Operator,2,0.0038465590234076476
BowFlex,Operator,3,-0.004449605256298846
BowFlex,President,1,0.0015118364790628809
BowFlex,President,2,-0.0008443331520029888
BowFlex,President,3,-0.00023540667032542414
CDC Corp.,Analyst,1,-0.003082860705641023
CDC Corp.,Analyst,2,0.0016593659057536929
CDC Corp.,Analyst,3,0.00048773821191610807
CDC Corp.,CEO,1,0.008696226878685688
CDC Corp.,CEO,2,0.0022847788424431017
CDC Corp.,CEO,3,-0.005532464802214183
CDC Corp.,CFO,1,0.04629717769256437
CDC Corp.,CFO,2,-0.029137385784541836
CDC Corp.,CFO,3,-0.004807792954872257
CDC Corp.,IR,1,-0.015440468062274254
CDC Corp.,IR,2,0.005613057053752696
CDC Corp.,IR,3,0.004052750775292175
CDC Corp.,Operator,1,-4.9803916819824206e-05
CDC Corp.,Operator,2,0.00013344692729805465
CDC Corp.,Operator,3,-5.575679378683047e-05
CIRCOR International,Analyst,1,-3.9266658551260006e-05
CIRCOR International,Analyst,2,1.4393072556316555e-05
CIRCOR International,Analyst,3,1.1607315376541518e-05
CIRCOR International,CEO,1,0.021128258522074832
CIRCOR International,CEO,2,0.007490517461532797
CIRCOR International,CEO,3,-0.012884793224077139
CIRCOR International,Operator,1,-0.0002695633430473645
CIRCOR International,Operator,2,0.0011376236804200447
CIRCOR International,Operator,3,-0.00037301962304018557
CWC Energy Services Corp.,Analyst,1,0.005427801630591038
CWC Energy Services Corp.,Analyst,2,-0.0032998625141392613
CWC Energy Services Corp.,Analyst,3,-0.0018219056969509917
CWC Energy Services Corp.,CEO,1,-0.0035743104751908834
CWC Energy Services Corp.,CEO,2,-0.0016250223969340302
CWC Energy Services Corp.,CEO,3,0.004721165869909113
CalAmp Corp.,Analyst,1,0.004754690491742809
CalAmp Corp.,Analyst,2,-0.0019985481604695883
CalAmp Corp.,Analyst,3,-0.0016224678089519647
CalAmp Corp.,CEO,1,0.010943977736385722
CalAmp Corp.,CEO,2,0.003028535375345383
CalAmp Corp.,CEO,3,-0.015323829972769645
CalAmp Corp.,CFO,1,-0.005215836384732983
CalAmp Corp.,CFO,2,0.002899791942530274
CalAmp Corp.,CFO,3,0.0007051369165884266
CalAmp Corp.,CTO,1,0.0006730439369104888
CalAmp Corp.,CTO,2,5.025823521896916e-06
CalAmp Corp.,CTO,3,-0.0006670834331869865
CalAmp Corp.,IR,1,0.008088645938286395
CalAmp Corp.,IR,2,-0.002234933643370897
CalAmp Corp.,IR,3,-0.00452996163984197
CalAmp Corp.,Operator,1,-0.0008155841136051121
CalAmp Corp.,Operator,2,0.0021251384260095657
CalAmp Corp.,Operator,3,-0.0024293822360134856
CalAmp Corp.,President,1,-0.0003898637872622409
CalAmp Corp.,President,2,0.000586958263215617
CalAmp Corp.,President,3,-0.00050971332653592
Callon Petroleum Co.,Analyst,1,0.002460545170355706
Callon Petroleum Co.,Analyst,2,-0.0009002963390440425
Callon Petroleum Co.,Analyst,3,-0.0009852588370060531
Callon Petroleum Co.,CEO,1,0.01096256878058395
Callon Petroleum Co.,CEO,2,0.002280295445464762
Callon Petroleum Co.,CEO,3,-0.014698292517767338
Callon Petroleum Co.,CFO,1,0.005625824422072719
Callon Petroleum Co.,CFO,2,-0.00290271438808943
Callon Petroleum Co.,CFO,3,-0.0008693645099884326
Callon Petroleum Co.,CTO,1,-0.006201115637498814
Callon Petroleum Co.,CTO,2,-8.999051198511996e-06
Callon Petroleum Co.,CTO,3,0.006215528168080326
Callon Petroleum Co.,IR,1,0.004830401691211133
Callon Petroleum Co.,IR,2,-0.0013395160067336443
Callon Petroleum Co.,IR,3,-0.0026353176470653365
Callon Petroleum Co.,Operator,1,0.0009163937987260277
Callon Petroleum Co.,Operator,2,-0.00212403235583239
Callon Petroleum Co.,Operator,3,0.002563926741190968
Callon Petroleum Co.,President,1,-0.0005093712639250644
Callon Petroleum Co.,President,2,5.86856866124274e-05
Callon Petroleum Co.,President,3,0.0004131862197881331
Cambridge Bancorp,Analyst,1,0.0021304633319372867
Cambridge Bancorp,Analyst,2,-0.0013581708673084656
Cambridge Bancorp,Analyst,3,-0.0005270989159682002
Cambridge Bancorp,CEO,1,0.03183945440568414
Cambridge Bancorp,CEO,2,0.010999770297259553
Cambridge Bancorp,CEO,3,-0.0325796076324415
Cano Petroleum,Analyst,1,-0.0027656842669590963
Cano Petroleum,Analyst,2,0.0038722198536632058
Cano Petroleum,Analyst,3,0.0016704202715253893
Cano Petroleum,Operator,1,-0.000837070183919215
Cano Petroleum,Operator,2,0.007506707527275943
Cano Petroleum,Operator,3,-0.004232082467818948
Carrols Restaurant Group,Analyst,1,-0.0007906483105786137
Carrols Restaurant Group,Analyst,2,0.0004636564746936735
Carrols Restaurant Group,Analyst,3,0.00018660870361878246
Carrols Restaurant Group,CEO,1,0.0024558023974851147
Carrols Restaurant Group,CEO,2,0.0008587804697050908
Carrols Restaurant Group,CEO,3,-0.0017261009645405056
Carrols Restaurant Group,Operator,1,0.000932049716756091
Carrols Restaurant Group,Operator,2,-0.003923662346779189
Carrols Restaurant Group,Operator,3,0.0014641821104132073
Centamin Plc,Analyst,1,0.0013924036084421226
Centamin Plc,Analyst,2,-0.0005501754508149691
Centamin Plc,Analyst,3,-0.000541435714097163
Centamin Plc,CEO,1,0.00060011698852273
Centamin Plc,CEO,2,-0.00032665575647967504
Centamin Plc,CEO,3,-0.00013903578182714263
Centamin Plc,CFO,1,-0.0037796438392477903
Centamin Plc,CFO,2,0.0014959685654681485
Centamin Plc,CFO,3,0.0014670465972798183
Centamin Plc,COO,1,0.00046360122693004345
Centamin Plc,COO,2,-0.0003933308874978607
Centamin Plc,COO,3,4.111173852008529e-05
Centamin Plc,Chair,1,-0.0003921074192485465
Centamin Plc,Chair,2,-0.0017799225965411279
Centamin Plc,Chair,3,0.0021907492345731422
Centamin Plc,Head,1,0.007528531727374926
Centamin Plc,Head,2,-0.003047312534191166
Centamin Plc,Head,3,-0.0028509962917556454
Centamin Plc,IR,1,-0.001048684617736259
Centamin Plc,IR,2,9.13763779951771e-05
Centamin Plc,IR,3,0.0007480319142836803
Centamin Plc,Operator,1,7.41590333106294e-05
Centamin Plc,Operator,2,0.0001478235689586347
Centamin Plc,Operator,3,-0.0002154303833441539
Cineworld Group Plc,Analyst,1,-0.00408901572967322
Cineworld Group Plc,Analyst,2,0.0023489229196012994
Cineworld Group Plc,Analyst,3,0.0015923733683170871
Cineworld Group Plc,CEO,1,0.015194846127573113
Cineworld Group Plc,CEO,2,0.004478585290668734
Cineworld Group Plc,CEO,3,-0.02183960420997936
Cineworld Group Plc,CTO,1,-0.005030700527273771
Cineworld Group Plc,CTO,2,-2.8218597317342716e-05
Cineworld Group Plc,CTO,3,0.0054770725482280805
Cloud Peak Energy,Analyst,1,0.007967340537025087
Cloud Peak Energy,Analyst,2,-0.003923396700296058
Cloud Peak Energy,Analyst,3,-0.002961102066814381
Cloud Peak Energy,CEO,1,-0.03010884561663211
Cloud Peak Energy,CEO,2,-0.008900746303811304
Cloud Peak Energy,CEO,3,0.042040662870671576
Cloud Peak Energy,CFO,1,-0.01032374752715429
Cloud Peak Energy,CFO,2,0.005918855847503338
Cloud Peak Energy,CFO,3,0.0027510917162073957
Cloud Peak Energy,IR,1,-0.014611988762422798
Cloud Peak Energy,IR,2,0.004762989984104142
Cloud Peak Energy,IR,3,0.008593328764285538
Cloud Peak Energy,Operator,1,0.0008366879257210259
Cloud Peak Energy,Operator,2,-0.002458122378737021
Cloud Peak Energy,Operator,3,0.002349407868251412
Cloud Peak Energy,President,1,0.006433589538606313
Cloud Peak Energy,President,2,-0.0064638989531252255
Cloud Peak Energy,President,3,0.001894118730761691
Cobalt International Energy,Analyst,1,0.01000789000511451
Cobalt International Energy,Analyst,2,-0.006397158141657956
Cobalt International Energy,Analyst,3,-0.001286408845628453
Cobalt International Energy,CEO,1,-0.0012259030092896513
Cobalt International Energy,CEO,2,-0.0007751019836021192
Cobalt International Energy,CEO,3,0.0006831148237763146
Cobalt International Energy,CFO,1,-0.056814650266152636
Cobalt International Energy,CFO,2,0.044632807582508774
Cobalt International Energy,CFO,3,0.004499012932551328
Cobalt International Energy,Operator,1,0.002224528439677486
Cobalt International Energy,Operator,2,-0.008625105342609381
Cobalt International Energy,Operator,3,0.0021426880470743334
Coldwater Creek,Analyst,1,-0.0007951325841153056
Coldwater Creek,Analyst,2,0.00043420566144630746
Coldwater Creek,Analyst,3,0.0002068865076207054
Coldwater Creek,CEO,1,-0.0011218355348144983
Coldwater Creek,CEO,2,-0.00026116109127616175
Coldwater Creek,CEO,3,0.0007234984224964648
Coldwater Creek,Operator,1,-0.0009651049416896321
Coldwater Creek,Operator,2,0.003979525167691001
Coldwater Creek,Operator,3,-0.001454277650272302
Computer Task Group,Analyst,1,0.0017636321886857988
Computer Task Group,Analyst,2,-0.0011852032263673046
Computer Task Group,Analyst,3,-0.0009869438105255329
Computer Task Group,CEO,1,-0.0077586026795775295
Computer Task Group,CEO,2,-0.0027906774578637357
Computer Task Group,CEO,3,0.016991074921366384
Computer Task Group,CFO,1,0.011903541199122914
Computer Task Group,CFO,2,-0.009892737755952292
Computer Task Group,CFO,3,-0.003669492513986546
Computer Task Group,CTO,1,0.0024880585142247674
Computer Task Group,CTO,2,6.86162138387918e-06
Computer Task Group,CTO,3,-0.004045405907321709
Computer Task Group,Chair,1,-0.00017101044606470625
Computer Task Group,Chair,2,0.00019809351606627377
Computer Task Group,Chair,3,-3.573059653220194e-05
Computer Task Group,IR,1,-0.005677875621818144
Computer Task Group,IR,2,0.0026086692718219973
Computer Task Group,IR,3,0.005084742434821085
Computer Task Group,Operator,1,-0.0011534796085081824
Computer Task Group,Operator,2,0.0047494800578593635
Computer Task Group,Operator,3,-0.005634889567686745
Computer Task Group,President,1,0.00039109872660702654
Computer Task Group,President,2,-0.0001948595084860878
Computer Task Group,President,3,-0.0003262686397206599
Computer Task Group,VP,1,0.003757421115306754
Computer Task Group,VP,2,0.0012662719823080134
Computer Task Group,VP,3,-0.008093943077143314
Consolidated Communications Holdings,Analyst,1,0.003959250438355809
Consolidated Communications Holdings,Analyst,2,-0.001602424741196053
Consolidated Communications Holdings,Analyst,3,-0.0014609649005947586
Consolidated Communications Holdings,CEO,1,-0.005016411467024423
Consolidated Communications Holdings,CEO,2,-0.0008696954252632831
Consolidated Communications Holdings,CEO,3,0.0067925308860142895
Consolidated Communications Holdings,CFO,1,-0.005029869851920479
Consolidated Communications Holdings,CFO,2,0.002647709786532779
Consolidated Communications Holdings,CFO,3,0.0008132413044961853
Consolidated Communications Holdings,COO,1,-0.0004595937152279926
Consolidated Communications Holdings,COO,2,0.00022752718001657797
Consolidated Communications Holdings,COO,3,9.884820310069459e-05
Consolidated Communications Holdings,IR,1,-0.0035159548667329527
Consolidated Communications Holdings,IR,2,0.0009114164564889913
Consolidated Communications Holdings,IR,3,0.0021691264749887683
Consolidated Communications Holdings,Operator,1,-0.0005614441485114921
Consolidated Communications Holdings,Operator,2,0.001390057119943341
Consolidated Communications Holdings,Operator,3,-0.0017742392710467215
Consolidated Communications Holdings,President,1,-0.007520316612288655
Consolidated Communications Holdings,President,2,0.005338201000166965
Consolidated Communications Holdings,President,3,-0.0011347635038640273
Constar International,Analyst,1,0.003084253389493025
Constar International,Analyst,2,-0.0016229207883362963
Constar International,Analyst,3,-0.0007128589662718486
Constar International,CEO,1,-0.025228692031062927
Constar International,CEO,2,-0.007317208487998474
Constar International,CEO,3,0.020987129553821246
Constar International,CFO,1,-0.003491205072996079
Constar International,CFO,2,0.0024202918944379653
Constar International,CFO,3,0.00037765551758649565
Constar International,IR,1,-0.012793579613058664
Constar International,IR,2,0.004396388734077552
Constar International,IR,3,0.004675919773437483
Constar International,Operator,1,0.003026227647508036
Constar International,Operator,2,-0.010359905356814938
Constar International,Operator,3,0.005753456041143469
Corinthian Colleges,Analyst,1,-0.005281541941689949
Corinthian Colleges,Analyst,2,0.007630534798952314
Corinthian Colleges,Analyst,3,0.003320426643615822
Corinthian Colleges,Operator,1,0.0007869152783245908
Corinthian Colleges,Operator,2,-0.007379490803328567
Corinthian Colleges,Operator,3,0.004327737715721033
Crestwood Equity Partners LP,Analyst,1,0.004803421237134008
Crestwood Equity Partners LP,Analyst,2,-0.0028134448514951556
Crestwood Equity Partners LP,Analyst,3,-0.00047248937982352244
Crestwood Equity Partners LP,CEO,1,0.015446415227290497
Crestwood Equity Partners LP,CEO,2,0.0063158021745877355
Crestwood Equity Partners LP,CEO,3,-0.005709286070600254
