company_id,risk_bucket,z_label,C_prob
Argo Group International Holdings,risk_uncertainty,2,0.002096267504147777
Argo Group International Holdings,risk_uncertainty,3,0.007345904909097609
Audacy,risk_constraint,1,-0.01583534417469626
Audacy,risk_constraint,2,0.00537367752755451
Audacy,risk_constraint,3,0.0036238126801027646
Audacy,risk_external,1,0.03211898015620546
Audacy,risk_external,2,-0.02166633383712341
Audacy,risk_external,3,-0.003521841746732919
Audacy,risk_legal,1,-0.023947114128032587
Audacy,risk_legal,2,0.010548278524343993
Audacy,risk_legal,3,0.004618982998173546
Audacy,risk_uncertainty,1,-0.016840571239108232
Audacy,risk_uncertainty,2,0.0046457639905570095
Audacy,risk_uncertainty,3,0.004233968984514816
Avid Technology,risk_constraint,1,0.00590652657208597
Avid Technology,risk_constraint,2,-0.0025672153654594785
Avid Technology,risk_constraint,3,-0.0015911538116480846
Avid Technology,risk_external,1,-0.004445541596875607
Avid Technology,risk_external,2,0.00762245094474872
Avid Technology,risk_external,3,-0.008056169465771264
Avid Technology,risk_legal,1,0.0008973422036871571
Avid Technology,risk_legal,2,-0.0008203851576282823
Avid Technology,risk_legal,3,0.0004581450889754937
Avid Technology,risk_uncertainty,1,0.02620512392413471
Avid Technology,risk_uncertainty,2,-0.010057972659782961
Avid Technology,risk_uncertainty,3,-0.009225269595033898
Axion International Holdings,risk_constraint,1,0.013811411276846063
Axion International Holdings,risk_constraint,2,-0.004475247079860201
Axion International Holdings,risk_constraint,3,-0.003934532625279102
Axion International Holdings,risk_external,1,-0.003615661967353928
Axion International Holdings,risk_external,2,-0.0032720019186625315
Axion International Holdings,risk_external,3,0.003560914990352561
Axion International Holdings,risk_legal,1,0.006211874846514623
Axion International Holdings,risk_legal,2,-0.002688031578846512
Axion International Holdings,risk_legal,3,-0.0013850252691904458
Axion International Holdings,risk_uncertainty,1,0.014115391132169888
Axion International Holdings,risk_uncertainty,2,-0.00012715400337608932
Axion International Holdings,risk_uncertainty,3,-0.006553751915619131
BSQUARE Corp.,risk_constraint,1,-0.0016296475350068987
BSQUARE Corp.,risk_constraint,2,0.008199011256438883
BSQUARE Corp.,risk_constraint,3,-0.00665939075208066
BSQUARE Corp.,risk_external,1,0.0039052217842000508
BSQUARE Corp.,risk_external,2,-0.016362938378410914
BSQUARE Corp.,risk_external,3,0.012808242753887334
BSQUARE Corp.,risk_legal,1,-0.010039841890078838
BSQUARE Corp.,risk_legal,2,0.013086396438852005
BSQUARE Corp.,risk_legal,3,-0.0051368969732735045
BSQUARE Corp.,risk_uncertainty,1,0.013223550429204676
BSQUARE Corp.,risk_uncertainty,2,-0.0006751176914703136
BSQUARE Corp.,risk_uncertainty,3,-0.009115666257023869
Basic Energy Services,risk_constraint,1,-0.022861090870420056
Basic Energy Services,risk_constraint,2,0.012210049914998371
Basic Energy Services,risk_constraint,3,0.004350997072491919
Basic Energy Services,risk_external,1,0.033238875213268924
Basic Energy Services,risk_external,2,-0.04075138438467387
Basic Energy Services,risk_external,3,0.0028691946200517537
Basic Energy Services,risk_legal,1,-0.035130770089532776
Basic Energy Services,risk_legal,2,0.019232069400515375
Basic Energy Services,risk_legal,3,0.006498759910278939
Basic Energy Services,risk_uncertainty,1,-0.031186582906381776
Basic Energy Services,risk_uncertainty,2,0.013255548299876815
Basic Energy Services,risk_uncertainty,3,0.007295374272893483
Boardriders,risk_constraint,1,0.0019859049125778108
Boardriders,risk_constraint,2,-0.002844802999585237
Boardriders,risk_constraint,3,-0.0013230536792882418
Boardriders,risk_external,1,-0.012834573396638033
Boardriders,risk_external,2,0.025994779972831485
Boardriders,risk_external,3,0.0027517538013407754
Boardriders,risk_legal,1,0.003063879676350913
Boardriders,risk_legal,2,-0.011517540611514023
Boardriders,risk_legal,3,0.003391326588577357
Boardriders,risk_uncertainty,1,0.0005636055849931313
Boardriders,risk_uncertainty,2,0.0018968988368414793
Boardriders,risk_uncertainty,3,-0.002436362611489426
BowFlex,risk_constraint,1,-0.0020149239578520057
BowFlex,risk_constraint,2,-0.0016631409351390437
BowFlex,risk_constraint,3,0.004665892892503944
BowFlex,risk_external,1,0.007095805026551097
BowFlex,risk_external,2,0.013337863861360188
BowFlex,risk_external,3,-0.028107599233005848
BowFlex,risk_legal,1,9.300221780936709e-05
BowFlex,risk_legal,2,-0.002143927640682166
BowFlex,risk_legal,3,0.0032506591092869683
BowFlex,risk_uncertainty,1,0.00880579398620062
BowFlex,risk_uncertainty,2,-0.006198528803540431
BowFlex,risk_uncertainty,3,0.0006276806440448767
CDC Corp.,risk_constraint,1,0.016375682635437087
CDC Corp.,risk_constraint,2,-0.006142747876855058
CDC Corp.,risk_constraint,3,-0.0041850124453199225
CDC Corp.,risk_external,1,-0.019438027679757157
CDC Corp.,risk_external,2,-0.0020276039636679087
CDC Corp.,risk_external,3,0.010528707751752095
CDC Corp.,risk_legal,1,0.018043515595538708
CDC Corp.,risk_legal,2,-0.005385397059913364
CDC Corp.,risk_legal,3,-0.005436527639183971
CDC Corp.,risk_uncertainty,1,0.021439101335296317
CDC Corp.,risk_uncertainty,2,-0.0058909881548579604
CDC Corp.,risk_uncertainty,3,-0.006762693230913187
CIRCOR International,risk_constraint,1,0.013693274239080167
CIRCOR International,risk_constraint,2,-0.006601082282161081
CIRCOR International,risk_constraint,3,-0.0033584108898797546
CIRCOR International,risk_external,1,-0.02487698136410378
CIRCOR International,risk_external,2,0.02943072841868683
CIRCOR International,risk_external,3,-0.0014980888816444006
CIRCOR International,risk_legal,1,0.018096211038635186
CIRCOR International,risk_legal,2,-0.008574182421258139
CIRCOR International,risk_legal,3,-0.004503386801812073
CIRCOR International,risk_uncertainty,1,0.013906924606864638
CIRCOR International,risk_uncertainty,2,-0.005612929500758451
CIRCOR International,risk_uncertainty,3,-0.003886318958404556
CWC Energy Services Corp.,risk_constraint,1,-0.0019071446795903837
CWC Energy Services Corp.,risk_constraint,2,0.0019884090571375967
CWC Energy Services Corp.,risk_constraint,3,-0.0001284158869622016
CWC Energy Services Corp.,risk_external,1,0.015113914024071563
CWC Energy Services Corp.,risk_external,2,-0.016009250877415115
CWC Energy Services Corp.,risk_external,3,0.0012507016371426554
CWC Energy Services Corp.,risk_legal,1,-0.0011688043473110045
CWC Energy Services Corp.,risk_legal,2,0.002768156138367005
CWC Energy Services Corp.,risk_legal,3,-0.0015153843928450287
CWC Energy Services Corp.,risk_uncertainty,1,-0.01018447384177002
CWC Energy Services Corp.,risk_uncertainty,2,0.006327800770837222
CWC Energy Services Corp.,risk_uncertainty,3,0.0032923588156226966
CalAmp Corp.,risk_constraint,1,0.0035983646620353967
CalAmp Corp.,risk_constraint,2,0.00043451429276368536
CalAmp Corp.,risk_constraint,3,-0.004185786844351569
CalAmp Corp.,risk_external,1,-0.003932408227032388
CalAmp Corp.,risk_external,2,0.0047987384498759215
CalAmp Corp.,risk_external,3,-0.0034372281702470878
CalAmp Corp.,risk_legal,1,-0.002157016509801342
CalAmp Corp.,risk_legal,2,0.005247882790473082
CalAmp Corp.,risk_legal,3,-0.00585909250935757
CalAmp Corp.,risk_uncertainty,1,0.020530133892523412
CalAmp Corp.,risk_uncertainty,2,-0.006069167506330436
CalAmp Corp.,risk_uncertainty,3,-0.01089519397675532
Callon Petroleum Co.,risk_constraint,1,0.008386988413629327
Callon Petroleum Co.,risk_constraint,2,-0.006975020307109445
Callon Petroleum Co.,risk_constraint,3,0.0030421779191198177
Callon Petroleum Co.,risk_external,1,-0.0037793159729682777
Callon Petroleum Co.,risk_external,2,0.009359882752539081
Callon Petroleum Co.,risk_external,3,-0.011557250161901454
Callon Petroleum Co.,risk_legal,1,0.00988778547914509
Callon Petroleum Co.,risk_legal,2,-0.005489401941227627
Callon Petroleum Co.,risk_legal,3,-0.0008927553782946624
Callon Petroleum Co.,risk_uncertainty,1,0.0035897890417195205
Callon Petroleum Co.,risk_uncertainty,2,-0.0018320375130228387
Callon Petroleum Co.,risk_uncertainty,3,-0.0005877647616914336
Cambridge Bancorp,risk_constraint,1,0.015705967045931135
Cambridge Bancorp,risk_constraint,2,-0.005820532714970128
Cambridge Bancorp,risk_constraint,3,-0.007194469575501011
Cambridge Bancorp,risk_external,1,-0.028726193758023644
Cambridge Bancorp,risk_external,2,0.033292803158795646
Cambridge Bancorp,risk_external,3,-0.004716017784450147
Cambridge Bancorp,risk_legal,1,0.021986864150516
Cambridge Bancorp,risk_legal,2,-0.008902918693255475
Cambridge Bancorp,risk_legal,3,-0.009475891517442027
Cambridge Bancorp,risk_uncertainty,1,0.025003280299197933
Cambridge Bancorp,risk_uncertainty,2,-0.008927752320618954
Cambridge Bancorp,risk_uncertainty,3,-0.011720327671016516
Cano Petroleum,risk_constraint,1,0.0017355188374049593
Cano Petroleum,risk_constraint,2,0.0014332553864868699
Cano Petroleum,risk_constraint,3,-0.0039374135451997316
Cano Petroleum,risk_external,1,-0.009025858968010636
Cano Petroleum,risk_external,2,0.008662365596347709
Cano Petroleum,risk_external,3,0.008424062553751728
Cano Petroleum,risk_legal,1,0.0018451555671094339
Cano Petroleum,risk_legal,2,0.0001675389546202271
Cano Petroleum,risk_legal,3,-0.0031718221159300515
Cano Petroleum,risk_uncertainty,1,0.0018424301126179323
Cano Petroleum,risk_uncertainty,2,0.0011157674434843427
Cano Petroleum,risk_uncertainty,3,-0.0038764890889155055
Carrols Restaurant Group,risk_constraint,1,0.004110909229481618
Carrols Restaurant Group,risk_constraint,2,-0.004312791087888932
Carrols Restaurant Group,risk_constraint,3,-2.1697766218428324e-05
Carrols Restaurant Group,risk_external,1,-0.002848506455330251
Carrols Restaurant Group,risk_external,2,0.010099670365882305
Carrols Restaurant Group,risk_external,3,-0.0035313852052975742
Carrols Restaurant Group,risk_legal,1,-6.988282018792437e-05
Carrols Restaurant Group,risk_legal,2,-0.0022212944418618387
Carrols Restaurant Group,risk_legal,3,0.0011446988001336603
Carrols Restaurant Group,risk_uncertainty,1,0.0014046838496991484
Carrols Restaurant Group,risk_uncertainty,2,-0.00616681023851196
Carrols Restaurant Group,risk_uncertainty,3,0.0023330740208738266
Centamin Plc,risk_constraint,1,-0.0007371215301677817
Centamin Plc,risk_constraint,2,0.0010308124382221377
Centamin Plc,risk_constraint,3,-0.00049245827057082
Centamin Plc,risk_external,1,0.026633503084546064
Centamin Plc,risk_external,2,-0.01849486630455338
Centamin Plc,risk_external,3,-0.0019590757617331065
Centamin Plc,risk_legal,1,0.0012398332085162378
Centamin Plc,risk_legal,2,-0.0002871099359249053
Centamin Plc,risk_legal,3,-0.0006957289294010802
Centamin Plc,risk_uncertainty,1,-0.022297838054546666
Centamin Plc,risk_uncertainty,2,0.01338893508915331
Centamin Plc,risk_uncertainty,3,0.0038473042753376305
Cineworld Group Plc,risk_constraint,1,0.012389331138471833
Cineworld Group Plc,risk_constraint,2,-0.007214505642272965
Cineworld Group Plc,risk_constraint,3,-0.004707207596141269
Cineworld Group Plc,risk_external,1,-0.026311489507216467
Cineworld Group Plc,risk_external,2,0.02779410691703394
Cineworld Group Plc,risk_external,3,-0.005039767938281925
Cineworld Group Plc,risk_legal,1,0.014124044865115537
Cineworld Group Plc,risk_legal,2,-0.010295874009196125
Cineworld Group Plc,risk_legal,3,-0.002869284084109247
Cineworld Group Plc,risk_uncertainty,1,0.005873243374255221
Cineworld Group Plc,risk_uncertainty,2,-0.0034844376526121604
Cineworld Group Plc,risk_uncertainty,3,-0.002153898674901751
Cloud Peak Energy,risk_constraint,1,-0.02298277344316939
Cloud Peak Energy,risk_constraint,2,0.004844522162078464
Cloud Peak Energy,risk_constraint,3,0.016957910345395212
Cloud Peak Energy,risk_external,1,0.04859810734602983
Cloud Peak Energy,risk_external,2,-0.03448699948983267
Cloud Peak Energy,risk_external,3,-0.004337256343487379
Cloud Peak Energy,risk_legal,1,-0.02131966284034583
Cloud Peak Energy,risk_legal,2,0.0020708332962052402
Cloud Peak Energy,risk_legal,3,0.01888134425493143
Cloud Peak Energy,risk_uncertainty,1,-0.04410263496737137
Cloud Peak Energy,risk_uncertainty,2,0.016507325527186843
Cloud Peak Energy,risk_uncertainty,3,0.023165509626523965
Cobalt International Energy,risk_constraint,1,-0.011328895008668705
Cobalt International Energy,risk_constraint,2,0.006121792597198163
Cobalt International Energy,risk_constraint,3,0.0018337523405249569
Cobalt International Energy,risk_external,1,0.02597011257415661
Cobalt International Energy,risk_external,2,-0.002189032815928283
Cobalt International Energy,risk_external,3,-0.008197138774142732
Cobalt International Energy,risk_legal,1,-0.015948994209590797
Cobalt International Energy,risk_legal,2,0.00862443710900539
Cobalt International Energy,risk_legal,3,0.0025795342245813644
Cobalt International Energy,risk_uncertainty,1,-0.04450035818654739
Cobalt International Energy,risk_uncertainty,2,0.016278245224364045
Cobalt International Energy,risk_uncertainty,3,0.009822259166809934
Coldwater Creek,risk_constraint,1,-0.0033791741190175965
Coldwater Creek,risk_constraint,2,0.0029072517821011326
Coldwater Creek,risk_constraint,3,0.00035467113335676376
Coldwater Creek,risk_external,1,-0.006558916669067671
Coldwater Creek,risk_external,2,0.0013166285110420067
Coldwater Creek,risk_external,3,0.0028254172049357726
Coldwater Creek,risk_legal,1,-0.0009617364068998857
Coldwater Creek,risk_legal,2,0.0024750104888576737
Coldwater Creek,risk_legal,3,-0.0007128961404878513
Coldwater Creek,risk_uncertainty,1,0.008017754134365717
Coldwater Creek,risk_uncertainty,2,-0.002546321044139666
Coldwater Creek,risk_uncertainty,3,-0.0029910849179598164
Computer Task Group,risk_constraint,1,0.0034448415158435343
Computer Task Group,risk_constraint,2,0.004188573784363962
Computer Task Group,risk_constraint,3,-0.012205023637390688
Computer Task Group,risk_external,1,-0.003990467675101504
Computer Task Group,risk_external,2,-0.018751612560080178
Computer Task Group,risk_external,3,0.03610295269446535
Computer Task Group,risk_legal,1,0.002058508465268576
Computer Task Group,risk_legal,2,0.007314781234235935
Computer Task Group,risk_legal,3,-0.014897157744841395
Computer Task Group,risk_uncertainty,1,0.004029901081968094
Computer Task Group,risk_uncertainty,2,0.0020141560422503864
Computer Task Group,risk_uncertainty,3,-0.009717628068962507
Consolidated Communications Holdings,risk_constraint,1,-0.007128079737392494
Consolidated Communications Holdings,risk_constraint,2,0.0054942528187466
Consolidated Communications Holdings,risk_constraint,3,-0.0018159101037174617
Consolidated Communications Holdings,risk_external,1,0.007805654676508712
Consolidated Communications Holdings,risk_external,2,-0.01012067297921699
Consolidated Communications Holdings,risk_external,3,0.008981859135737838
Consolidated Communications Holdings,risk_legal,1,-0.012733246011880998
Consolidated Communications Holdings,risk_legal,2,0.010588275039886035
Consolidated Communications Holdings,risk_legal,3,-0.004562066074057341
Consolidated Communications Holdings,risk_uncertainty,1,-0.006088669150585406
Consolidated Communications Holdings,risk_uncertainty,2,0.0020809364972736734
Consolidated Communications Holdings,risk_uncertainty,3,0.0028998962351313926
Constar International,risk_constraint,1,-0.02650279611969411
Constar International,risk_constraint,2,0.0077913952135052695
Constar International,risk_constraint,3,0.010655096388566527
Constar International,risk_external,1,0.039356252606812414
Constar International,risk_external,2,-0.030148887540483154
Constar International,risk_external,3,-0.002148650304615059
Constar International,risk_legal,1,-0.02434324525364479
Constar International,risk_legal,2,0.004313377337151404
Constar International,risk_legal,3,0.011879435696973344
Constar International,risk_uncertainty,1,-0.023913206913590127
Constar International,risk_uncertainty,2,0.00556076098519229
Constar International,risk_uncertainty,3,0.010695420138792034
Corinthian Colleges,risk_constraint,1,0.00020603703364654113
Corinthian Colleges,risk_constraint,2,-0.008039488599576062
Corinthian Colleges,risk_constraint,3,0.005851092182095296
Corinthian Colleges,risk_external,1,-0.0053394527126359404
Corinthian Colleges,risk_external,2,0.02540712912313385
Corinthian Colleges,risk_external,3,-0.0103111169151559
Corinthian Colleges,risk_legal,1,0.001082482911692292
Corinthian Colleges,risk_legal,2,-0.01369011290685921
Corinthian Colleges,risk_legal,3,0.008687053958993836
Corinthian Colleges,risk_uncertainty,1,-0.0004436938960682516
Corinthian Colleges,risk_uncertainty,2,-0.0034264836210748328
Corinthian Colleges,risk_uncertainty,3,0.0034211351334036207
Crestwood Equity Partners LP,risk_constraint,1,0.01896559426461481
