company_id,role,z_label,C_logit
Avid Technology,IR,1,0.28449657261519007
Avid Technology,IR,2,-0.7317918344847046
Avid Technology,IR,3,0.44729526186950536
Avid Technology,Operator,1,0.24411684260578229
Avid Technology,Operator,2,0.4025735266544061
Avid Technology,Operator,3,-0.6466903692602102
Avid Technology,President,1,-0.004035595071364008
Avid Technology,President,2,-0.6324949351894034
Avid Technology,President,3,0.6365305302607616
Axion International Holdings,Analyst,1,0.6044977325918047
Axion International Holdings,Analyst,2,-0.7689855396394009
Axion International Holdings,Analyst,3,0.1644878070475892
Axion International Holdings,CEO,1,1.3624960111352558
Axion International Holdings,CEO,2,-0.7479264195955744
Axion International Holdings,CEO,3,-0.6145695915396981
Axion International Holdings,CFO,1,0.7550325316694344
Axion International Holdings,CFO,2,-0.3557724516719983
Axion International Holdings,CFO,3,-0.39926007999744567
Axion International Holdings,IR,1,0.28216067006215106
Axion International Holdings,IR,2,-0.7326151307074291
Axion International Holdings,IR,3,0.45045446064526884
Axion International Holdings,Operator,1,0.23818387945214342
Axion International Holdings,Operator,2,0.42730685910868615
Axion International Holdings,Operator,3,-0.6654907385608512
BSQUARE Corp.,Analyst,1,0.6234116165554231
BSQUARE Corp.,Analyst,2,-0.7814048028048819
BSQUARE Corp.,Analyst,3,0.15799318624945172
BSQUARE Corp.,CEO,1,1.3558130064387917
BSQUARE Corp.,CEO,2,-0.7491740731266497
BSQUARE Corp.,CEO,3,-0.6066389333121587
BSQUARE Corp.,CFO,1,0.6750473481120973
BSQUARE Corp.,CFO,2,-0.2869803056747364
BSQUARE Corp.,CFO,3,-0.38806704243737145
BSQUARE Corp.,CTO,1,-0.06414409702690149
BSQUARE Corp.,CTO,2,-0.27197947223105656
BSQUARE Corp.,CTO,3,0.3361235692579371
BSQUARE Corp.,Chair,1,-0.2163776502264379
BSQUARE Corp.,Chair,2,0.15523445130710034
BSQUARE Corp.,Chair,3,0.061143198919309534
BSQUARE Corp.,IR,1,0.22278352074681188
BSQUARE Corp.,IR,2,-0.705215763548239
BSQUARE Corp.,IR,3,0.48243224280141794
BSQUARE Corp.,Operator,1,0.23993745504572173
BSQUARE Corp.,Operator,2,0.4198996390557591
BSQUARE Corp.,Operator,3,-0.6598370941015025
Basic Energy Services,Analyst,1,0.6083194855985339
Basic Energy Services,Analyst,2,-0.7713643146710909
Basic Energy Services,Analyst,3,0.16304482907254994
Basic Energy Services,CEO,1,1.2182250439702247
Basic Energy Services,CEO,2,-0.8004448197863382
Basic Energy Services,CEO,3,-0.4177802241839031
Basic Energy Services,CFO,1,0.5913317001034012
Basic Energy Services,CFO,2,-0.22404574760033064
Basic Energy Services,CFO,3,-0.3672859525030819
Basic Energy Services,Operator,1,0.24648343111918564
Basic Energy Services,Operator,2,0.3933686906054299
Basic Energy Services,Operator,3,-0.6398521217246373
Boardriders,Analyst,1,0.531853436529366
Boardriders,Analyst,2,-0.72270302470474
Boardriders,Analyst,3,0.1908495881753664
Boardriders,Operator,1,0.24498612046872936
Boardriders,Operator,2,0.3993757182582905
Boardriders,Operator,3,-0.6443618387270417
BowFlex,Analyst,1,0.6026421802717243
BowFlex,Analyst,2,-0.7682834977071082
BowFlex,Analyst,3,0.1656413174353769
BowFlex,CEO,1,1.3950683496642535
BowFlex,CEO,2,-0.7374811055133877
BowFlex,CEO,3,-0.6575872441508824
BowFlex,CFO,1,0.6543516494142019
BowFlex,CFO,2,-0.2724986697115631
BowFlex,CFO,3,-0.3818529797026494
BowFlex,COO,1,-0.6066569832017065
BowFlex,COO,2,-0.5440021870302327
BowFlex,COO,3,1.1506591702319444
BowFlex,Head,1,-0.6858838384914827
BowFlex,Head,2,0.07820912207211628
BowFlex,Head,3,0.6076747164193648
BowFlex,IR,1,0.2599789723277839
BowFlex,IR,2,-0.7225555262081104
BowFlex,IR,3,0.46257655388031726
BowFlex,Operator,1,0.2424793800457956
BowFlex,Operator,2,0.4078686929350902
BowFlex,Operator,3,-0.6503480729809076
BowFlex,President,1,-0.004771066910498348
BowFlex,President,2,-0.6315339418237635
BowFlex,President,3,0.636305008734256
CDC Corp.,Analyst,1,0.593589888619622
