role,risk_bucket,z_label,f_ijz,sum_s,N_sent
IR,risk_legal,2,-0.8485771703907041,971.2940973762,3926
IR,risk_legal,3,-1.995666219276557,387.1568412702,1622
IR,risk_uncertainty,1,0.35007667011840804,1862.6664848459,7634
IR,risk_uncertainty,2,-0.861178907333439,942.8253863445,3926
IR,risk_uncertainty,3,-2.025161076079746,369.3773079994,1622
Operator,risk_constraint,1,-0.2117412223010298,5020.292816076,22286
Operator,risk_constraint,2,-0.16984427008397265,5136.8166202192,23107
Operator,risk_constraint,3,-2.251886601034144,1067.637886623,4599
Operator,risk_external,1,-0.2263966232357156,6673.89022684,22286
Operator,risk_external,2,-0.11045479215218298,7106.799561512,23107
Operator,risk_external,3,-2.389058927934171,1262.999847467,4599
Operator,risk_legal,1,-0.21585240430153996,5403.7603152075,22286
Operator,risk_legal,2,-0.16650372064437935,5551.8192337227,23107
Operator,risk_legal,3,-2.249794177490386,1154.051727109,4599
Operator,risk_uncertainty,1,-0.21393801133223045,5188.048957634,22286
Operator,risk_uncertainty,2,-0.1710094430306253,5311.5606149484,23107
Operator,risk_uncertainty,3,-2.242295895582229,1114.3146285495,4599
President,risk_constraint,1,0.6388350406515934,5784.1676681135,25057
President,risk_constraint,2,-1.1518771784901256,2121.7011835983,9322
President,risk_constraint,3,-2.1377996183524717,931.3295556283,4062
President,risk_external,1,0.5879914143451357,7063.553862493,25057
President,risk_external,2,-1.1142676920557422,2713.99621662,9322
President,risk_external,3,-2.089609364190195,1208.952331946,4062
President,risk_legal,1,0.6271792976740465,6064.1705086832,25057
President,risk_legal,2,-1.1312387706092057,2268.6836621428,9322
President,risk_legal,3,-2.1500619143567317,969.7007943058,4062
President,risk_uncertainty,1,0.6618796652511914,6145.0592156356,25057
President,risk_uncertainty,2,-1.1629467151272488,2217.6048433318,9322
President,risk_uncertainty,3,-2.1720058017636066,952.0286331198,4062
SVP,risk_constraint,1,3.192483874387393,24.516273425,100
SVP,risk_external,1,3.1321794349818073,23.020080571,100
SVP,risk_legal,1,3.2436397727259982,25.858169433,100
SVP,risk_uncertainty,1,3.2710559484093653,26.606094306,100
VP,risk_constraint,1,-1.718487517958304,28.179603578000002,138
VP,risk_constraint,2,-0.5052455578751182,71.2672271357,297
VP,risk_constraint,3,-0.0921121842579135,90.606620725,375
VP,risk_external,1,-1.2319948410706814,50.339721732,138
VP,risk_external,2,-0.4772118085331264,86.078918459,297
VP,risk_external,3,-0.4231183621512999,89.004760663,375
VP,risk_legal,1,-1.6831614001801278,30.256004323,138
VP,risk_legal,2,-0.5588792056263086,71.6300507385,297
VP,risk_legal,3,-0.061322338805868785,95.7656019925,375
VP,risk_uncertainty,1,-1.718104121726078,29.227386535,138
VP,risk_uncertainty,2,-0.6318035241232101,68.0261193244,297
VP,risk_uncertainty,3,0.023852290110962376,99.625572162,375
