company_id,doc_id,role,risk_bucket,z_label,sum_s,mean_s,N_sent
AG&E Holdings,"AG&E Holdings, Inc._2005-04-27_Q1 2005",Operator,risk_legal,2,8.670379616,0.22816788463157894,38
AG&E Holdings,"AG&E Holdings, Inc._2005-04-27_Q1 2005",Operator,risk_uncertainty,2,7.883239754,0.2074536777368421,38
AG&E Holdings,"AG&E Holdings, Inc._2014-05-08_Q1 2014",CEO,risk_constraint,2,0.33544922,0.33544922,1
AG&E Holdings,"AG&E Holdings, Inc._2014-05-08_Q1 2014",CEO,risk_external,2,0.08459473,0.08459473,1
AG&E Holdings,"AG&E Holdings, Inc._2014-05-08_Q1 2014",CEO,risk_legal,2,0.25268555,0.25268555,1
AG&E Holdings,"AG&E Holdings, Inc._2014-05-08_Q1 2014",CEO,risk_uncertainty,2,0.32714844,0.32714844,1
AG&E Holdings,"AG&E Holdings, Inc._2014-05-08_Q1 2014",CFO,risk_constraint,2,56.40325922,0.23403842,241
AG&E Holdings,"AG&E Holdings, Inc._2014-05-08_Q1 2014",CFO,risk_external,2,67.105194161,0.27844478904979253,241
AG&E Holdings,"AG&E Holdings, Inc._2014-05-08_Q1 2014",CFO,risk_legal,2,58.099090584,0.2410750646639004,241
AG&E Holdings,"AG&E Holdings, Inc._2014-05-08_Q1 2014",CFO,risk_uncertainty,2,59.392318743,0.2464411566099585,241
AG&E Holdings,"AG&E Holdings, Inc._2014-08-06_Q2 2014",CEO,risk_constraint,2,3.15139767,0.2864906972727273,11
AG&E Holdings,"AG&E Holdings, Inc._2014-08-06_Q2 2014",CEO,risk_external,2,2.339782695,0.2127075177272727,11
AG&E Holdings,"AG&E Holdings, Inc._2014-08-06_Q2 2014",CEO,risk_legal,2,2.826354966,0.2569413605454545,11
AG&E Holdings,"AG&E Holdings, Inc._2014-08-06_Q2 2014",CEO,risk_uncertainty,2,2.682312012,0.24384654654545457,11
AG&E Holdings,"AG&E Holdings, Inc._2014-08-06_Q2 2014",CFO,risk_constraint,2,41.236381609,0.2411484304619883,171
AG&E Holdings,"AG&E Holdings, Inc._2014-08-06_Q2 2014",CFO,risk_external,2,41.401916561,0.24211647111695905,171
AG&E Holdings,"AG&E Holdings, Inc._2014-08-06_Q2 2014",CFO,risk_legal,2,42.1803741453,0.2466688546508772,171
AG&E Holdings,"AG&E Holdings, Inc._2014-08-06_Q2 2014",CFO,risk_uncertainty,2,46.1811409036,0.27006515148304094,171
AG&E Holdings,"AG&E Holdings, Inc._2014-11-13_Q3 2014",CEO,risk_constraint,2,0.2993164,0.2993164,1
AG&E Holdings,"AG&E Holdings, Inc._2014-11-13_Q3 2014",CEO,risk_external,2,0.15808105,0.15808105,1
AG&E Holdings,"AG&E Holdings, Inc._2014-11-13_Q3 2014",CEO,risk_legal,2,0.24121094,0.24121094,1
AG&E Holdings,"AG&E Holdings, Inc._2014-11-13_Q3 2014",CEO,risk_uncertainty,2,0.30151367,0.30151367,1
AG&E Holdings,"AG&E Holdings, Inc._2014-11-13_Q3 2014",CFO,risk_constraint,2,82.066810583,0.25329262525617285,324
AG&E Holdings,"AG&E Holdings, Inc._2014-11-13_Q3 2014",CFO,risk_external,2,73.67831432,0.22740220469135802,324
AG&E Holdings,"AG&E Holdings, Inc._2014-11-13_Q3 2014",CFO,risk_legal,2,83.8793792056,0.25888697285679013,324
AG&E Holdings,"AG&E Holdings, Inc._2014-11-13_Q3 2014",CFO,risk_uncertainty,2,84.376113825,0.26042010439814817,324
AG&E Holdings,"AG&E Holdings, Inc._2015-02-12_Q4 2014",Analyst,risk_constraint,2,21.9610634575,0.22640271605670104,97
AG&E Holdings,"AG&E Holdings, Inc._2015-02-12_Q4 2014",Analyst,risk_external,2,28.93081657,0.2982558409278351,97
AG&E Holdings,"AG&E Holdings, Inc._2015-02-12_Q4 2014",Analyst,risk_legal,2,22.8156814416,0.23521321073814433,97
AG&E Holdings,"AG&E Holdings, Inc._2015-02-12_Q4 2014",Analyst,risk_uncertainty,2,23.2931289493,0.24013534999278352,97
AG&E Holdings,"AG&E Holdings, Inc._2015-02-12_Q4 2014",CEO,risk_constraint,2,11.671371474,0.22021455611320756,53
AG&E Holdings,"AG&E Holdings, Inc._2015-02-12_Q4 2014",CEO,risk_external,2,17.324676428,0.3268806873207547,53
AG&E Holdings,"AG&E Holdings, Inc._2015-02-12_Q4 2014",CEO,risk_legal,2,11.69940185,0.22074343113207545,53
AG&E Holdings,"AG&E Holdings, Inc._2015-02-12_Q4 2014",CEO,risk_uncertainty,2,12.306381189,0.23219587149056603,53
AG&E Holdings,"AG&E Holdings, Inc._2015-02-12_Q4 2014",CFO,risk_constraint,2,14.294097924999999,0.26969996084905656,53
AG&E Holdings,"AG&E Holdings, Inc._2015-02-12_Q4 2014",CFO,risk_external,2,9.517150887,0.17956888466037735,53
AG&E Holdings,"AG&E Holdings, Inc._2015-02-12_Q4 2014",CFO,risk_legal,2,14.994018505,0.28290600952830186,53
AG&E Holdings,"AG&E Holdings, Inc._2015-02-12_Q4 2014",CFO,risk_uncertainty,2,14.19500731,0.2678303266037736,53
AG&E Holdings,"AG&E Holdings, Inc._2015-02-12_Q4 2014",IR,risk_constraint,2,11.565216054,0.275362287,42
AG&E Holdings,"AG&E Holdings, Inc._2015-02-12_Q4 2014",IR,risk_external,2,7.849975601000001,0.1869041809761905,42
AG&E Holdings,"AG&E Holdings, Inc._2015-02-12_Q4 2014",IR,risk_legal,2,11.472106982,0.27314540433333334,42
AG&E Holdings,"AG&E Holdings, Inc._2015-02-12_Q4 2014",IR,risk_uncertainty,2,11.111938511,0.26456996454761905,42
AG&E Holdings,"AG&E Holdings, Inc._2015-02-12_Q4 2014",President,risk_constraint,2,3.53125,0.27163461538461536,13
AG&E Holdings,"AG&E Holdings, Inc._2015-02-12_Q4 2014",President,risk_external,2,2.647766125,0.2036743173076923,13
AG&E Holdings,"AG&E Holdings, Inc._2015-02-12_Q4 2014",President,risk_legal,2,3.552398673,0.27326143638461536,13
AG&E Holdings,"AG&E Holdings, Inc._2015-02-12_Q4 2014",President,risk_uncertainty,2,3.268920915,0.251455455,13
Acorda Therapeutics,"Acorda Therapeutics, Inc._2009-02-24_Q4 2008",Analyst,risk_constraint,2,1.410217295,0.23503621583333334,6
Acorda Therapeutics,"Acorda Therapeutics, Inc._2009-02-24_Q4 2008",Analyst,risk_external,2,1.45483397,0.24247232833333332,6
Acorda Therapeutics,"Acorda Therapeutics, Inc._2009-02-24_Q4 2008",Analyst,risk_legal,2,1.92126464,0.3202107733333333,6
Acorda Therapeutics,"Acorda Therapeutics, Inc._2009-02-24_Q4 2008",Analyst,risk_uncertainty,2,1.21398926,0.20233154333333334,6
Acorda Therapeutics,"Acorda Therapeutics, Inc._2009-02-24_Q4 2008",Operator,risk_constraint,2,12.152404795999999,0.19600652896774193,62
Acorda Therapeutics,"Acorda Therapeutics, Inc._2009-02-24_Q4 2008",Operator,risk_external,2,24.3609009,0.3929177564516129,62
Acorda Therapeutics,"Acorda Therapeutics, Inc._2009-02-24_Q4 2008",Operator,risk_legal,2,13.250946056,0.21372493638709678,62
Acorda Therapeutics,"Acorda Therapeutics, Inc._2009-02-24_Q4 2008",Operator,risk_uncertainty,2,12.2353210075,0.19734388721774193,62
Acorda Therapeutics,"Acorda Therapeutics, Inc._2014-07-31_Q2 2014",Analyst,risk_constraint,2,0.25805664,0.25805664,1
Acorda Therapeutics,"Acorda Therapeutics, Inc._2014-07-31_Q2 2014",Analyst,risk_external,2,0.112854004,0.112854004,1
Acorda Therapeutics,"Acorda Therapeutics, Inc._2014-07-31_Q2 2014",Analyst,risk_legal,2,0.3347168,0.3347168,1
Acorda Therapeutics,"Acorda Therapeutics, Inc._2014-07-31_Q2 2014",Analyst,risk_uncertainty,2,0.29418945,0.29418945,1
Acorda Therapeutics,"Acorda Therapeutics, Inc._2014-07-31_Q2 2014",CTO,risk_constraint,2,61.508369369,0.19526466466349207,315
Acorda Therapeutics,"Acorda Therapeutics, Inc._2014-07-31_Q2 2014",CTO,risk_external,2,121.620696861,0.38609745035238097,315
Acorda Therapeutics,"Acorda Therapeutics, Inc._2014-07-31_Q2 2014",CTO,risk_legal,2,67.0333938153,0.2128044248104762,315
Acorda Therapeutics,"Acorda Therapeutics, Inc._2014-07-31_Q2 2014",CTO,risk_uncertainty,2,64.8374176379,0.20583307186634922,315
Acorda Therapeutics,"Acorda Therapeutics, Inc._2014-10-30_Q3 2014",Analyst,risk_constraint,2,78.6263274454,0.20967020652106666,375
Acorda Therapeutics,"Acorda Therapeutics, Inc._2014-10-30_Q3 2014",Analyst,risk_external,2,127.952270645,0.34120605505333335,375
Acorda Therapeutics,"Acorda Therapeutics, Inc._2014-10-30_Q3 2014",Analyst,risk_legal,2,85.0811539394,0.2268830771717333,375
Acorda Therapeutics,"Acorda Therapeutics, Inc._2014-10-30_Q3 2014",Analyst,risk_uncertainty,2,83.3429375043,0.2222478333448,375
Acorda Therapeutics,"Acorda Therapeutics, Inc._2014-10-30_Q3 2014",CEO,risk_constraint,2,0.28735352,0.28735352,1
Acorda Therapeutics,"Acorda Therapeutics, Inc._2014-10-30_Q3 2014",CEO,risk_external,2,0.09429932,0.09429932,1
Acorda Therapeutics,"Acorda Therapeutics, Inc._2014-10-30_Q3 2014",CEO,risk_legal,2,0.32861328,0.32861328,1
Acorda Therapeutics,"Acorda Therapeutics, Inc._2014-10-30_Q3 2014",CEO,risk_uncertainty,2,0.28955078,0.28955078,1
Acorda Therapeutics,"Acorda Therapeutics, Inc._2015-02-12_Q4 2014",Analyst,risk_constraint,2,70.5766029783,0.2005017130065341,352
Acorda Therapeutics,"Acorda Therapeutics, Inc._2015-02-12_Q4 2014",Analyst,risk_external,2,133.097869718,0.3781189480625,352
Acorda Therapeutics,"Acorda Therapeutics, Inc._2015-02-12_Q4 2014",Analyst,risk_legal,2,73.8191412956,0.20971346958977274,352
Acorda Therapeutics,"Acorda Therapeutics, Inc._2015-02-12_Q4 2014",Analyst,risk_uncertainty,2,74.5060730041,0.2116649801252841,352
Acorda Therapeutics,"Acorda Therapeutics, Inc._2015-02-12_Q4 2014",CEO,risk_constraint,2,0.28393555,0.28393555,1
Acorda Therapeutics,"Acorda Therapeutics, Inc._2015-02-12_Q4 2014",CEO,risk_external,2,0.07904053,0.07904053,1
Acorda Therapeutics,"Acorda Therapeutics, Inc._2015-02-12_Q4 2014",CEO,risk_legal,2,0.3322754,0.3322754,1
Acorda Therapeutics,"Acorda Therapeutics, Inc._2015-02-12_Q4 2014",CEO,risk_uncertainty,2,0.30493164,0.30493164,1
Acorda Therapeutics,"Acorda Therapeutics, Inc._2015-04-30_Q1 2015",Analyst,risk_constraint,2,69.132408039,0.19419215741292134,356
Acorda Therapeutics,"Acorda Therapeutics, Inc._2015-04-30_Q1 2015",Analyst,risk_external,2,140.552459645,0.3948102799016854,356
Acorda Therapeutics,"Acorda Therapeutics, Inc._2015-04-30_Q1 2015",Analyst,risk_legal,2,74.4517401735,0.20913410161095505,356
Acorda Therapeutics,"Acorda Therapeutics, Inc._2015-04-30_Q1 2015",Analyst,risk_uncertainty,2,71.8636018713,0.20186405020028092,356
Acorda Therapeutics,"Acorda Therapeutics, Inc._2015-04-30_Q1 2015",CEO,risk_constraint,2,0.28076172,0.28076172,1
Acorda Therapeutics,"Acorda Therapeutics, Inc._2015-04-30_Q1 2015",CEO,risk_external,2,0.07751465,0.07751465,1
Acorda Therapeutics,"Acorda Therapeutics, Inc._2015-04-30_Q1 2015",CEO,risk_legal,2,0.3383789,0.3383789,1
