role,risk_bucket,z_label,sum_s,mean_s,N_sent
IR,risk_uncertainty,1,1862.6664848459,0.24399613372359183,7634
IR,risk_uncertainty,2,942.8253863445,0.24014910502916453,3926
IR,risk_uncertainty,3,369.3773079994,0.22772953637447596,1622
Operator,risk_constraint,1,5020.292816076,0.2252666614051871,22286
Operator,risk_constraint,2,5136.8166202192,0.2223056485142684,23107
Operator,risk_constraint,3,1067.637886623,0.23214565919178082,4599
Operator,risk_external,1,6673.89022684,0.2994655939531544,22286
Operator,risk_external,2,7106.799561512,0.30756046053196,23107
Operator,risk_external,3,1262.999847467,0.274624885293977,4599
Operator,risk_legal,1,5403.7603152075,0.2424733157680831,22286
Operator,risk_legal,2,5551.8192337227,0.240265687182356,23107
Operator,risk_legal,3,1154.051727109,0.25093536140661016,4599
Operator,risk_uncertainty,1,5188.048957634,0.23279408407224264,22286
Operator,risk_uncertainty,2,5311.5606149484,0.2298680319794175,23107
Operator,risk_uncertainty,3,1114.3146285495,0.24229498337671232,4599
President,risk_constraint,1,5784.1676681135,0.23084039063389475,25057
President,risk_constraint,2,2121.7011835983,0.22760150006418148,9322
President,risk_constraint,3,931.3295556283,0.22927857105571148,4062
President,risk_external,1,7063.553862493,0.2818994238134254,25057
President,risk_external,2,2713.99621662,0.29113883465136237,9322
President,risk_external,3,1208.952331946,0.2976248970817331,4062
President,risk_legal,1,6064.1705086832,0.2420150260878477,25057
President,risk_legal,2,2268.6836621428,0.2433687687344776,9322
President,risk_legal,3,969.7007943058,0.23872496167055637,4062
President,risk_uncertainty,1,6145.0592156356,0.2452432140972822,25057
President,risk_uncertainty,2,2217.6048433318,0.23788938460971895,9322
President,risk_uncertainty,3,952.0286331198,0.23437435576558346,4062
SVP,risk_constraint,1,24.516273425,0.24516273425000001,100
SVP,risk_external,1,23.020080571,0.23020080571,100
SVP,risk_legal,1,25.858169433,0.25858169433,100
SVP,risk_uncertainty,1,26.606094306,0.26606094306,100
VP,risk_constraint,1,28.179603578000002,0.20420002592753625,138
VP,risk_constraint,2,71.2672271357,0.2399569937228956,297
VP,risk_constraint,3,90.606620725,0.24161765526666668,375
VP,risk_external,1,50.339721732,0.36478059226086956,138
VP,risk_external,2,86.078918459,0.28982800827946126,297
VP,risk_external,3,89.004760663,0.23734602843466665,375
VP,risk_legal,1,30.256004323,0.21924640813768115,138
VP,risk_legal,2,71.6300507385,0.24117862201515153,297
VP,risk_legal,3,95.7656019925,0.25537493864666666,375
VP,risk_uncertainty,1,29.227386535,0.21179265605072464,138
VP,risk_uncertainty,2,68.0261193244,0.2290441728094276,297
VP,risk_uncertainty,3,99.625572162,0.265668192432,375
