company_id,role,risk_bucket,a_mij
Argo Group International Holdings,IR,risk_legal,0.2507594227790832
Argo Group International Holdings,IR,risk_constraint,0.2389936000108719
Argo Group International Holdings,IR,risk_external,0.2675955891609192
Argo Group International Holdings,Operator,risk_uncertainty,0.1995336711406707
Argo Group International Holdings,Operator,risk_legal,0.2179644703865051
Argo Group International Holdings,Operator,risk_constraint,0.2032122910022735
Argo Group International Holdings,Operator,risk_external,0.3792895674705505
Argo Group International Holdings,President,risk_uncertainty,0.2311627566814422
Argo Group International Holdings,President,risk_legal,0.2386464923620224
Argo Group International Holdings,President,risk_constraint,0.2193250507116317
Argo Group International Holdings,President,risk_external,0.3108657300472259
Audacy,Analyst,risk_uncertainty,0.2279436737298965
Audacy,Analyst,risk_legal,0.2235729843378067
Audacy,Analyst,risk_constraint,0.2146703153848648
Audacy,Analyst,risk_external,0.3338129818439483
Audacy,CEO,risk_uncertainty,0.2254840433597564
Audacy,CEO,risk_legal,0.2180713415145874
Audacy,CEO,risk_constraint,0.211564153432846
Audacy,CEO,risk_external,0.3448804318904876
Audacy,CFO,risk_uncertainty,0.2165331691503524
Audacy,CFO,risk_legal,0.2134902030229568
Audacy,CFO,risk_constraint,0.2231713086366653
Audacy,CFO,risk_external,0.3468053340911865
Audacy,Operator,risk_uncertainty,0.2124058008193969
Audacy,Operator,risk_legal,0.2035146206617355
Audacy,Operator,risk_constraint,0.1995081156492233
Audacy,Operator,risk_external,0.3845714330673218
Avid Technology,Analyst,risk_uncertainty,0.2610432207584381
Avid Technology,Analyst,risk_legal,0.2450761049985885
Avid Technology,Analyst,risk_constraint,0.2323200702667236
Avid Technology,Analyst,risk_external,0.2615606486797333
Avid Technology,CEO,risk_uncertainty,0.2642514407634735
Avid Technology,CEO,risk_legal,0.2463686317205429
Avid Technology,CEO,risk_constraint,0.2416879683732986
Avid Technology,CEO,risk_external,0.2476919442415237
Avid Technology,CFO,risk_uncertainty,0.2717974483966827
Avid Technology,CFO,risk_legal,0.252077966928482
Avid Technology,CFO,risk_constraint,0.2420687526464462
Avid Technology,CFO,risk_external,0.2340558171272277
Avid Technology,CTO,risk_uncertainty,0.2352482676506042
Avid Technology,CTO,risk_legal,0.2534216642379761
Avid Technology,CTO,risk_constraint,0.2441079914569854
Avid Technology,CTO,risk_external,0.2672221064567566
Avid Technology,IR,risk_uncertainty,0.2747646272182464
Avid Technology,IR,risk_legal,0.2537224292755127
Avid Technology,IR,risk_constraint,0.2533651292324066
Avid Technology,IR,risk_external,0.218147873878479
Avid Technology,Operator,risk_uncertainty,0.2627328038215637
Avid Technology,Operator,risk_legal,0.2505280971527099
Avid Technology,Operator,risk_constraint,0.2436158061027526
Avid Technology,Operator,risk_external,0.2431233078241348
Avid Technology,President,risk_uncertainty,0.2610940635204315
Avid Technology,President,risk_legal,0.2480001151561737
Avid Technology,President,risk_constraint,0.2346399426460266
Avid Technology,President,risk_external,0.2562659382820129
Axion International Holdings,Analyst,risk_uncertainty,0.2556228935718536
Axion International Holdings,Analyst,risk_legal,0.2426890432834625
Axion International Holdings,Analyst,risk_constraint,0.2416432499885559
Axion International Holdings,Analyst,risk_external,0.2600448727607727
Axion International Holdings,CEO,risk_uncertainty,0.2514535784721374
Axion International Holdings,CEO,risk_legal,0.235857605934143
Axion International Holdings,CEO,risk_constraint,0.2354385405778885
Axion International Holdings,CEO,risk_external,0.2772502601146698
Axion International Holdings,CFO,risk_uncertainty,0.2579892873764038
Axion International Holdings,CFO,risk_legal,0.2814662754535675
Axion International Holdings,CFO,risk_constraint,0.2671237289905548
Axion International Holdings,CFO,risk_external,0.1934206932783126
Axion International Holdings,IR,risk_uncertainty,0.2527974843978882
Axion International Holdings,IR,risk_legal,0.2668380439281463
Axion International Holdings,IR,risk_constraint,0.2623075842857361
Axion International Holdings,IR,risk_external,0.2180568724870681
Axion International Holdings,Operator,risk_uncertainty,0.2965465486049652
Axion International Holdings,Operator,risk_legal,0.2661765217781067
Axion International Holdings,Operator,risk_constraint,0.2720358967781067
Axion International Holdings,Operator,risk_external,0.1652410328388214
BSQUARE Corp.,Analyst,risk_uncertainty,0.2501954436302185
BSQUARE Corp.,Analyst,risk_legal,0.2257299423217773
BSQUARE Corp.,Analyst,risk_constraint,0.2234003841876983
BSQUARE Corp.,Analyst,risk_external,0.3006742298603058
BSQUARE Corp.,CEO,risk_uncertainty,0.257741630077362
BSQUARE Corp.,CEO,risk_legal,0.2278693914413452
BSQUARE Corp.,CEO,risk_constraint,0.2277210056781768
BSQUARE Corp.,CEO,risk_external,0.2866680026054382
BSQUARE Corp.,CFO,risk_uncertainty,0.2602511346340179
BSQUARE Corp.,CFO,risk_legal,0.234853908419609
BSQUARE Corp.,CFO,risk_constraint,0.2320360988378524
BSQUARE Corp.,CFO,risk_external,0.2728589177131653
BSQUARE Corp.,CTO,risk_uncertainty,0.2323704808950424
BSQUARE Corp.,CTO,risk_legal,0.21024951338768
BSQUARE Corp.,CTO,risk_constraint,0.19891257584095
BSQUARE Corp.,CTO,risk_external,0.3584674298763275
BSQUARE Corp.,Chair,risk_uncertainty,0.2843799293041229
BSQUARE Corp.,Chair,risk_legal,0.2707044780254364
BSQUARE Corp.,Chair,risk_constraint,0.2550306022167206
BSQUARE Corp.,Chair,risk_external,0.1898850053548813
BSQUARE Corp.,IR,risk_uncertainty,0.2504310607910156
BSQUARE Corp.,IR,risk_legal,0.2386267781257629
BSQUARE Corp.,IR,risk_constraint,0.2325139492750167
BSQUARE Corp.,IR,risk_external,0.2784282565116882
BSQUARE Corp.,Operator,risk_uncertainty,0.2732262909412384
BSQUARE Corp.,Operator,risk_legal,0.279874712228775
BSQUARE Corp.,Operator,risk_constraint,0.2659637331962585
BSQUARE Corp.,Operator,risk_external,0.180935263633728
Basic Energy Services,Analyst,risk_uncertainty,0.2380424290895462
Basic Energy Services,Analyst,risk_legal,0.2479320019483566
Basic Energy Services,Analyst,risk_constraint,0.2349527180194854
Basic Energy Services,Analyst,risk_external,0.2790728509426117
Basic Energy Services,CEO,risk_uncertainty,0.1849572956562042
Basic Energy Services,CEO,risk_legal,0.1727008074522018
Basic Energy Services,CEO,risk_constraint,0.1822946667671203
Basic Energy Services,CEO,risk_external,0.4600472152233124
Basic Energy Services,CFO,risk_uncertainty,0.2105371952056884
Basic Energy Services,CFO,risk_legal,0.2213434129953384
Basic Energy Services,CFO,risk_constraint,0.2170420885086059
Basic Energy Services,CFO,risk_external,0.3510773181915283
Basic Energy Services,Operator,risk_uncertainty,0.2431547343730926
Basic Energy Services,Operator,risk_legal,0.2496207505464553
Basic Energy Services,Operator,risk_constraint,0.2382464855909347
Basic Energy Services,Operator,risk_external,0.2689780294895172
Boardriders,Analyst,risk_uncertainty,0.2369664162397384
Boardriders,Analyst,risk_legal,0.3555289804935455
Boardriders,Analyst,risk_constraint,0.2637720704078674
Boardriders,Analyst,risk_external,0.1437325328588485
Boardriders,Operator,risk_uncertainty,0.2505756616592407
Boardriders,Operator,risk_legal,0.2560778260231018
Boardriders,Operator,risk_constraint,0.2440358251333236
Boardriders,Operator,risk_external,0.2493107169866562
BowFlex,Analyst,risk_uncertainty,0.2629485130310058
BowFlex,Analyst,risk_legal,0.2479770928621292
BowFlex,Analyst,risk_constraint,0.2337823361158371
BowFlex,Analyst,risk_external,0.2552920579910278
BowFlex,CEO,risk_uncertainty,0.2600001692771911
BowFlex,CEO,risk_legal,0.2588593959808349
BowFlex,CEO,risk_constraint,0.2452119588851928
BowFlex,CEO,risk_external,0.2359284609556198
BowFlex,CFO,risk_uncertainty,0.2425648719072342
BowFlex,CFO,risk_legal,0.2383757382631302
BowFlex,CFO,risk_constraint,0.2273168861865997
BowFlex,CFO,risk_external,0.2917425036430359
BowFlex,COO,risk_uncertainty,0.2586438357830047
BowFlex,COO,risk_legal,0.27064049243927
BowFlex,COO,risk_constraint,0.2557189166545868
BowFlex,COO,risk_external,0.2149967551231384
BowFlex,Head,risk_uncertainty,0.2690417170524597
BowFlex,Head,risk_legal,0.2652994692325592
BowFlex,Head,risk_constraint,0.2600561082363128
BowFlex,Head,risk_external,0.2056027054786682
BowFlex,IR,risk_uncertainty,0.2538931369781494
BowFlex,IR,risk_legal,0.2597091495990753
BowFlex,IR,risk_constraint,0.2455605417490005
BowFlex,IR,risk_external,0.2408371269702911
BowFlex,Operator,risk_uncertainty,0.2697915136814117
BowFlex,Operator,risk_legal,0.2644995152950287
BowFlex,Operator,risk_constraint,0.2413277477025985
BowFlex,Operator,risk_external,0.224381223320961
BowFlex,President,risk_uncertainty,0.2606298923492431
BowFlex,President,risk_legal,0.2458672821521759
BowFlex,President,risk_constraint,0.2340703606605529
BowFlex,President,risk_external,0.2594324052333832
CDC Corp.,Analyst,risk_uncertainty,0.2375203818082809
CDC Corp.,Analyst,risk_legal,0.2641502618789673
CDC Corp.,Analyst,risk_constraint,0.2475175112485885
CDC Corp.,Analyst,risk_external,0.2508118450641632
CDC Corp.,CEO,risk_uncertainty,0.2550824880599975
CDC Corp.,CEO,risk_legal,0.270214170217514
CDC Corp.,CEO,risk_constraint,0.2528088986873626
CDC Corp.,CEO,risk_external,0.2218944430351257
CDC Corp.,CFO,risk_uncertainty,0.3222187161445617
CDC Corp.,CFO,risk_legal,0.3005110621452331
CDC Corp.,CFO,risk_constraint,0.2847075462341308
CDC Corp.,CFO,risk_external,0.0925626903772354
CDC Corp.,IR,risk_uncertainty,0.2260892540216446
CDC Corp.,IR,risk_legal,0.2162169069051742
CDC Corp.,IR,risk_constraint,0.2159676849842071
CDC Corp.,IR,risk_external,0.341726154088974
CDC Corp.,Operator,risk_uncertainty,0.2325839102268219
