pair,count,share
Operator|risk_external,43,0.22395833333333334
CEO|risk_uncertainty,21,0.109375
Analyst|risk_legal,18,0.09375
IR|risk_external,18,0.09375
Operator|risk_uncertainty,17,0.08854166666666667
Operator|risk_legal,10,0.052083333333333336
President|risk_external,8,0.041666666666666664
CFO|risk_external,6,0.03125
COO|risk_external,5,0.026041666666666668
President|risk_legal,5,0.026041666666666668
CEO|risk_legal,4,0.020833333333333332
CFO|risk_uncertainty,4,0.020833333333333332
Head|risk_external,4,0.020833333333333332
Analyst|risk_external,3,0.015625
President|risk_constraint,3,0.015625
Analyst|risk_uncertainty,3,0.015625
Operator|risk_constraint,3,0.015625
IR|risk_constraint,2,0.010416666666666666
CEO|risk_constraint,2,0.010416666666666666
CIO|risk_external,2,0.010416666666666666
CTO|risk_legal,1,0.005208333333333333
VP|risk_legal,1,0.005208333333333333
CTO|risk_external,1,0.005208333333333333
Head|risk_uncertainty,1,0.005208333333333333
VP|risk_uncertainty,1,0.005208333333333333
CIO|risk_uncertainty,1,0.005208333333333333
SVP|risk_external,1,0.005208333333333333
Analyst|risk_constraint,1,0.005208333333333333
VP|risk_external,1,0.005208333333333333
COO|risk_legal,1,0.005208333333333333
COO|risk_uncertainty,1,0.005208333333333333
