pair,count,share
CEO|risk_external,38,0.19791666666666666
Analyst|risk_external,28,0.14583333333333334
CEO|risk_uncertainty,21,0.109375
CEO|risk_legal,20,0.10416666666666667
Analyst|risk_legal,18,0.09375
CEO|risk_constraint,11,0.057291666666666664
Operator|risk_external,11,0.057291666666666664
CFO|risk_uncertainty,9,0.046875
Analyst|risk_uncertainty,7,0.036458333333333336
IR|risk_external,5,0.026041666666666668
CFO|risk_legal,4,0.020833333333333332
Head|risk_external,4,0.020833333333333332
Analyst|risk_constraint,3,0.015625
VP|risk_external,3,0.015625
Operator|risk_legal,2,0.010416666666666666
COO|risk_external,2,0.010416666666666666
CIO|risk_legal,1,0.005208333333333333
SVP|risk_external,1,0.005208333333333333
CIO|risk_external,1,0.005208333333333333
SVP|risk_uncertainty,1,0.005208333333333333
VP|risk_legal,1,0.005208333333333333
CIO|risk_uncertainty,1,0.005208333333333333
